Series ID,Year,Period,Label,Value,1-Month Net Change
CEU0000000001,2000,M01,2000 Jan,128992,-2642
CEU0000000001,2000,M02,2000 Feb,129655,663
CEU0000000001,2000,M03,2000 Mar,130751,1096
CEU0000000001,2000,M04,2000 Apr,131749,998
CEU0000000001,2000,M05,2000 May,132705,956
CEU0000000001,2000,M06,2000 Jun,133217,512
CEU0000000001,2000,M07,2000 Jul,131998,-1219
CEU0000000001,2000,M08,2000 Aug,132009,11
CEU0000000001,2000,M09,2000 Sep,132677,668
CEU0000000001,2000,M10,2000 Oct,133236,559
CEU0000000001,2000,M11,2000 Nov,133600,364
CEU0000000001,2000,M12,2000 Dec,133542,-58
CEU0000000001,2001,M01,2001 Jan,130668,-2874
CEU0000000001,2001,M02,2001 Feb,131334,666
CEU0000000001,2001,M03,2001 Mar,131929,595
CEU0000000001,2001,M04,2001 Apr,132335,406
CEU0000000001,2001,M05,2001 May,133042,707
CEU0000000001,2001,M06,2001 Jun,133420,378
CEU0000000001,2001,M07,2001 Jul,131932,-1488
CEU0000000001,2001,M08,2001 Aug,131861,-71
CEU0000000001,2001,M09,2001 Sep,132127,266
CEU0000000001,2001,M10,2001 Oct,132329,202
CEU0000000001,2001,M11,2001 Nov,132141,-188
CEU0000000001,2001,M12,2001 Dec,131759,-382
CEU0000000001,2002,M01,2002 Jan,128875,-2884
CEU0000000001,2002,M02,2002 Feb,129347,472
CEU0000000001,2002,M03,2002 Mar,129954,607
CEU0000000001,2002,M04,2002 Apr,130543,589
CEU0000000001,2002,M05,2002 May,131314,771
CEU0000000001,2002,M06,2002 Jun,131696,382
CEU0000000001,2002,M07,2002 Jul,130254,-1442
CEU0000000001,2002,M08,2002 Aug,130340,86
CEU0000000001,2002,M09,2002 Sep,130860,520
CEU0000000001,2002,M10,2002 Oct,131530,670
CEU0000000001,2002,M11,2002 Nov,131651,121
CEU0000000001,2002,M12,2002 Dec,131243,-408
CEU0000000001,2003,M01,2003 Jan,128561,-2682
CEU0000000001,2003,M02,2003 Feb,128978,417
CEU0000000001,2003,M03,2003 Mar,129474,496
CEU0000000001,2003,M04,2003 Apr,130132,658
CEU0000000001,2003,M05,2003 May,130892,760
CEU0000000001,2003,M06,2003 Jun,131222,330
CEU0000000001,2003,M07,2003 Jul,129883,-1339
CEU0000000001,2003,M08,2003 Aug,129936,53
CEU0000000001,2003,M09,2003 Sep,130591,655
CEU0000000001,2003,M10,2003 Oct,131384,793
CEU0000000001,2003,M11,2003 Nov,131548,164
CEU0000000001,2003,M12,2003 Dec,131368,-180
CEU0000000001,2004,M01,2004 Jan,128709,-2659
CEU0000000001,2004,M02,2004 Feb,129320,611
CEU0000000001,2004,M03,2004 Mar,130361,1041
CEU0000000001,2004,M04,2004 Apr,131477,1116
CEU0000000001,2004,M05,2004 May,132380,903
CEU0000000001,2004,M06,2004 Jun,132825,445
CEU0000000001,2004,M07,2004 Jul,131664,-1161
CEU0000000001,2004,M08,2004 Aug,131685,21
CEU0000000001,2004,M09,2004 Sep,132400,715
CEU0000000001,2004,M10,2004 Oct,133380,980
CEU0000000001,2004,M11,2004 Nov,133631,251
CEU0000000001,2004,M12,2004 Dec,133400,-231
CEU0000000001,2005,M01,2005 Jan,130696,-2704
CEU0000000001,2005,M02,2005 Feb,131519,823
CEU0000000001,2005,M03,2005 Mar,132358,839
CEU0000000001,2005,M04,2005 Apr,133572,1214
CEU0000000001,2005,M05,2005 May,134385,813
CEU0000000001,2005,M06,2005 Jun,135054,669
CEU0000000001,2005,M07,2005 Jul,133993,-1061
CEU0000000001,2005,M08,2005 Aug,134244,251
CEU0000000001,2005,M09,2005 Sep,134871,627
CEU0000000001,2005,M10,2005 Oct,135599,728
CEU0000000001,2005,M11,2005 Nov,136157,558
CEU0000000001,2005,M12,2005 Dec,135956,-201
CEU0000000001,2006,M01,2006 Jan,133303,-2653
CEU0000000001,2006,M02,2006 Feb,134228,925
CEU0000000001,2006,M03,2006 Mar,135209,981
CEU0000000001,2006,M04,2006 Apr,136123,914
CEU0000000001,2006,M05,2006 May,136928,805
CEU0000000001,2006,M06,2006 Jun,137432,504
CEU0000000001,2006,M07,2006 Jul,136255,-1177
CEU0000000001,2006,M08,2006 Aug,136462,207
CEU0000000001,2006,M09,2006 Sep,137131,669
CEU0000000001,2006,M10,2006 Oct,137831,700
CEU0000000001,2006,M11,2006 Nov,138217,386
CEU0000000001,2006,M12,2006 Dec,138106,-111
CEU0000000001,2007,M01,2007 Jan,135317,-2789
CEU0000000001,2007,M02,2007 Feb,136008,691
CEU0000000001,2007,M03,2007 Mar,136906,898
CEU0000000001,2007,M04,2007 Apr,137712,806
CEU0000000001,2007,M05,2007 May,138655,943
CEU0000000001,2007,M06,2007 Jun,139157,502
CEU0000000001,2007,M07,2007 Jul,137760,-1397
CEU0000000001,2007,M08,2007 Aug,137872,112
CEU0000000001,2007,M09,2007 Sep,138437,565
CEU0000000001,2007,M10,2007 Oct,139180,743
CEU0000000001,2007,M11,2007 Nov,139492,312
CEU0000000001,2007,M12,2007 Dec,139279,-213
CEU0000000001,2008,M01,2008 Jan,136250,-3029
CEU0000000001,2008,M02,2008 Feb,136769,519
CEU0000000001,2008,M03,2008 Mar,137361,592
CEU0000000001,2008,M04,2008 Apr,137896,535
CEU0000000001,2008,M05,2008 May,138470,574
CEU0000000001,2008,M06,2008 Jun,138665,195
CEU0000000001,2008,M07,2008 Jul,137185,-1480
CEU0000000001,2008,M08,2008 Aug,137077,-108
CEU0000000001,2008,M09,2008 Sep,137130,53
CEU0000000001,2008,M10,2008 Oct,137425,295
CEU0000000001,2008,M11,2008 Nov,136743,-682
CEU0000000001,2008,M12,2008 Dec,135715,-1028
CEU0000000001,2009,M01,2009 Jan,132024,-3691
CEU0000000001,2009,M02,2009 Feb,131791,-233
CEU0000000001,2009,M03,2009 Mar,131658,-133
CEU0000000001,2009,M04,2009 Apr,131842,184
CEU0000000001,2009,M05,2009 May,132115,273
CEU0000000001,2009,M06,2009 Jun,131934,-181
CEU0000000001,2009,M07,2009 Jul,130336,-1598
CEU0000000001,2009,M08,2009 Aug,130215,-121
CEU0000000001,2009,M09,2009 Sep,130573,358
CEU0000000001,2009,M10,2009 Oct,131172,599
CEU0000000001,2009,M11,2009 Nov,131220,48
CEU0000000001,2009,M12,2009 Dec,130673,-547
CEU0000000001,2010,M01,2010 Jan,127804,-2869
CEU0000000001,2010,M02,2010 Feb,128239,435
CEU0000000001,2010,M03,2010 Mar,129073,834
CEU0000000001,2010,M04,2010 Apr,130196,1123
CEU0000000001,2010,M05,2010 May,131314,1118
CEU0000000001,2010,M06,2010 Jun,131432,118
CEU0000000001,2010,M07,2010 Jul,130094,-1338
CEU0000000001,2010,M08,2010 Aug,130158,64
CEU0000000001,2010,M09,2010 Sep,130652,494
CEU0000000001,2010,M10,2010 Oct,131624,972
CEU0000000001,2010,M11,2010 Nov,131930,306
CEU0000000001,2010,M12,2010 Dec,131624,-306
CEU0000000001,2011,M01,2011 Jan,128761,-2863
CEU0000000001,2011,M02,2011 Feb,129575,814
CEU0000000001,2011,M03,2011 Mar,130481,906
CEU0000000001,2011,M04,2011 Apr,131698,1217
CEU0000000001,2011,M05,2011 May,132382,684
CEU0000000001,2011,M06,2011 Jun,132871,489
CEU0000000001,2011,M07,2011 Jul,131597,-1274
CEU0000000001,2011,M08,2011 Aug,131872,275
CEU0000000001,2011,M09,2011 Sep,132618,746
CEU0000000001,2011,M10,2011 Oct,133541,923
CEU0000000001,2011,M11,2011 Nov,133876,335
CEU0000000001,2011,M12,2011 Dec,133701,-175
CEU0000000001,2012,M01,2012 Jan,131095,-2606
CEU0000000001,2012,M02,2012 Feb,132049,954
CEU0000000001,2012,M03,2012 Mar,132953,904
CEU0000000001,2012,M04,2012 Apr,133836,883
CEU0000000001,2012,M05,2012 May,134650,814
CEU0000000001,2012,M06,2012 Jun,134987,337
CEU0000000001,2012,M07,2012 Jul,133778,-1209
CEU0000000001,2012,M08,2012 Aug,134157,379
CEU0000000001,2012,M09,2012 Sep,134785,628
CEU0000000001,2012,M10,2012 Oct,135632,847
CEU0000000001,2012,M11,2012 Nov,136021,389
CEU0000000001,2012,M12,2012 Dec,135946,-75
CEU0000000001,2013,M01,2013 Jan,133064,-2882
CEU0000000001,2013,M02,2013 Feb,134102,1038
CEU0000000001,2013,M03,2013 Mar,134901,799
CEU0000000001,2013,M04,2013 Apr,135906,1005
CEU0000000001,2013,M05,2013 May,136799,893
CEU0000000001,2013,M06,2013 Jun,137208,409
CEU0000000001,2013,M07,2013 Jul,136034,-1174
CEU0000000001,2013,M08,2013 Aug,136471,437
CEU0000000001,2013,M09,2013 Sep,137079,608
CEU0000000001,2013,M10,2013 Oct,138001,922
CEU0000000001,2013,M11,2013 Nov,138526,525
CEU0000000001,2013,M12,2013 Dec,138275,-251
CEU0000000001,2014,M01,2014 Jan,135471,-2804
CEU0000000001,2014,M02,2014 Feb,136211,740
CEU0000000001,2014,M03,2014 Mar,137169,958
CEU0000000001,2014,M04,2014 Apr,138307,1138
CEU0000000001,2014,M05,2014 May,139219,912
CEU0000000001,2014,M06,2014 Jun,139806,587
CEU0000000001,2014,M07,2014 Jul,138727,-1079
CEU0000000001,2014,M08,2014 Aug,139107,380
CEU0000000001,2014,M09,2014 Sep,139793,686
CEU0000000001,2014,M10,2014 Oct,140847,1054
CEU0000000001,2014,M11,2014 Nov,141312,465
CEU0000000001,2014,M12,2014 Dec,141308,-4
